1,808239.504,9156778.243
2,808314.646,9156765.568
3,808369.662,9156773.291
4,808371.472,9156784.223
5,808353.418,9156788.131
6,808339.725,9156791.096
7,808311.929,9156804.907
8,808295.041,9156813.299
9,808260.412,9156842.196
10,808344.877,9156823.013
11,808345.462,9156811.146
12,808357.03,9156809.146
13,808375.084,9156806.025
14,808377.981,9156823.52
15,808353.051,9156822.734
16,808324.621,9156826.209
17,808309.076,9156831.382
18,808292.023,9156845.398
19,808284.588,9156854.617
20,808272.988,9156875.686
