1,807570.393,9157634.381
2,807594.416,9157607.042
3,807588.127,9157594.437
4,807617.885,9157569.813
5,807627.683,9157584.178
6,807645.459,9157600.005
7,807615.544,9157631.303
8,807592.822,9157677.749
9,807558.614,9157669.433
10,807552.285,9157640.173
11,807543.615,9157600.09
12,807547.438,9157582.936
13,807561.251,9157587.108
14,807571.828,9157576.904
15,807614.548,9157535.687
16,807618.124,9157547.015
17,807612.959,9157562.59
18,807653.497,9157607.163
19,807640.389,9157641.579
20,807656.77,9157619.735
21,807696.868,9157652.102
22,807665.973,9157685.087
23,807659.388,9157682.057
24,807640.039,9157683.275
