PTO,ESTE,NORTE
1,807492.349,9157410.742
2,807510.005,9157435.342
3,807509.82,9157454.912
4,807511.163,9157460.233
5,807483.236,9157465.302
6,807473.204,9157477.443
7,807448.463,9157467.501
8,807489.098,9157484.896
9,807492.973,9157480.04
10,807514.712,9157474.301
11,807507.962,9157497.014
12,807535.894,9157525.725
13,807524.946,9157533.907
14,807527.155,9157540.9
15,807522.133,9157545.049
16,807505.376,9157498.27
17,807544.372,9157621.058
18,807571.771,9157627.461
19,807567.547,9157609.706
20,807556.234,9157606.681
21,807535.593,9157588.849
22,807594.267,9157632.443
23,807597.344,9157633.022
24,807614.857,9157649.016
25,807631.757,9157648.203
26,807655.215,9157661.847
27,807659.431,9157657.703
28,807651.142,9157651.698
29,807653.591,9157646.216
30,807651.142,9157651.698
31,807621.727,9157621.459
32,807617.286,9157625.354
33,807606.595,9157615.816
34,807604.042,9157619.465
35,807591.442,9157616.096
