PTO,ESTE,NORTE
1,807481.494,9157269.169
2,807468.338,9157282.806
3,807472.758,9157293.527
4,807452.637,9157288.311
5,807456.352,9157292.411
6,807442.534,9157309.42
7,807454.18,9157315.653
8,807423.949,9157309.59
9,807430.631,9157317.044
10,807449.368,9157320.629
11,807414.441,9157314.312
12,807421.823,9157325.281
13,807436.253,9157333.668
14,807418.952,9157350.834
15,807409.529,9157344.131
16,807387.072,9157343.26
17,807358.822,9157370.251
18,807344.11,9157371.457
19,807329.542,9157368.486
20,807320.955,9157382.906
21,807349.011,9157388.324
22,807358.894,9157380.149
23,807379.95,9157389.464
24,807337.61,9157431.436
25,807304.244,9157410.895
